DP Date;P Produit;c Chute;reincorpo_maxi(p, dp, c)
2022-04-12 00:00:00;product_15;chute_4;26479
2022-04-13 00:00:00;product_15;chute_4;26479
2022-04-14 00:00:00;product_15;chute_4;26479
2022-04-15 00:00:00;product_15;chute_4;21560
2022-04-16 00:00:00;product_15;chute_4;21560
2022-04-17 00:00:00;product_15;chute_4;21560
2022-04-18 00:00:00;product_15;chute_4;21560
2022-04-19 00:00:00;product_15;chute_4;21560
2022-04-20 00:00:00;product_15;chute_4;21560
2022-04-21 00:00:00;product_15;chute_4;21560
2022-04-22 00:00:00;product_15;chute_4;21560
2022-04-23 00:00:00;product_15;chute_4;21560
2022-04-24 00:00:00;product_15;chute_4;21560
2022-04-25 00:00:00;product_15;chute_4;21560
2022-04-26 00:00:00;product_15;chute_4;21560
2022-04-27 00:00:00;product_15;chute_4;21736
2022-04-28 00:00:00;product_15;chute_4;21736
2022-04-29 00:00:00;product_15;chute_4;21736
2022-04-30 00:00:00;product_15;chute_4;21736
2022-05-01 00:00:00;product_15;chute_4;21736
2022-05-02 00:00:00;product_15;chute_4;21736
2022-05-03 00:00:00;product_15;chute_4;21736
2022-05-04 00:00:00;product_15;chute_4;21736
2022-05-05 00:00:00;product_15;chute_4;21736
2022-04-03 00:00:00;product_16;chute_4;25611
2022-04-04 00:00:00;product_16;chute_4;25611
2022-04-05 00:00:00;product_16;chute_4;25611
2022-04-06 00:00:00;product_16;chute_4;25611
2022-04-07 00:00:00;product_16;chute_4;25611
2022-04-08 00:00:00;product_16;chute_4;25611
2022-04-09 00:00:00;product_16;chute_4;25611
2022-04-10 00:00:00;product_16;chute_4;25611
2022-04-11 00:00:00;product_16;chute_4;25611
2022-04-12 00:00:00;product_16;chute_4;25611
2022-04-13 00:00:00;product_16;chute_4;25611
2022-04-14 00:00:00;product_16;chute_4;25611
2022-04-15 00:00:00;product_16;chute_4;21181
2022-04-16 00:00:00;product_16;chute_4;21181
2022-04-17 00:00:00;product_16;chute_4;21181
2022-04-18 00:00:00;product_16;chute_4;21181
2022-04-19 00:00:00;product_16;chute_4;21181
2022-04-20 00:00:00;product_16;chute_4;21181
2022-04-21 00:00:00;product_16;chute_4;21181
2022-04-22 00:00:00;product_16;chute_4;21181
2022-04-23 00:00:00;product_16;chute_4;21181
2022-04-24 00:00:00;product_16;chute_4;21181
2022-04-25 00:00:00;product_16;chute_4;21181
2022-04-26 00:00:00;product_16;chute_4;21181
2022-04-27 00:00:00;product_16;chute_4;23932
2022-04-28 00:00:00;product_16;chute_4;23932
2022-04-29 00:00:00;product_16;chute_4;23932
2022-04-30 00:00:00;product_16;chute_4;23932
2022-05-01 00:00:00;product_16;chute_4;23932
2022-05-02 00:00:00;product_16;chute_4;23932
2022-05-03 00:00:00;product_16;chute_4;23932
2022-05-04 00:00:00;product_16;chute_4;23932
2022-05-05 00:00:00;product_16;chute_4;23932
2022-04-01 00:00:00;product_18;chute_5;10856
2022-04-02 00:00:00;product_18;chute_5;10856
2022-04-03 00:00:00;product_18;chute_5;11576
2022-04-04 00:00:00;product_18;chute_5;11576
2022-04-05 00:00:00;product_18;chute_5;11576
2022-04-06 00:00:00;product_18;chute_5;11576
2022-04-07 00:00:00;product_18;chute_5;11576
2022-04-08 00:00:00;product_18;chute_5;11576
2022-04-09 00:00:00;product_18;chute_5;11576
2022-04-10 00:00:00;product_18;chute_5;11576
2022-04-11 00:00:00;product_18;chute_5;11576
2022-04-12 00:00:00;product_18;chute_5;11576
2022-04-13 00:00:00;product_18;chute_5;11576
2022-04-14 00:00:00;product_18;chute_5;11576
2022-04-15 00:00:00;product_18;chute_5;8975
2022-04-16 00:00:00;product_18;chute_5;8975
2022-04-17 00:00:00;product_18;chute_5;8975
2022-04-18 00:00:00;product_18;chute_5;8975
2022-04-19 00:00:00;product_18;chute_5;8975
2022-04-20 00:00:00;product_18;chute_5;8975
2022-04-21 00:00:00;product_18;chute_5;8975
2022-04-22 00:00:00;product_18;chute_5;8975
2022-04-23 00:00:00;product_18;chute_5;8975
2022-04-24 00:00:00;product_18;chute_5;8975
2022-04-25 00:00:00;product_18;chute_5;8975
2022-04-26 00:00:00;product_18;chute_5;8975
2022-04-27 00:00:00;product_18;chute_5;9904
2022-04-28 00:00:00;product_18;chute_5;9904
2022-04-29 00:00:00;product_18;chute_5;9904
2022-04-30 00:00:00;product_18;chute_5;9904
2022-05-01 00:00:00;product_18;chute_5;9904
2022-05-02 00:00:00;product_18;chute_5;9904
2022-05-03 00:00:00;product_18;chute_5;9904
2022-05-04 00:00:00;product_18;chute_5;9904
2022-05-05 00:00:00;product_18;chute_5;9904
2022-04-07 00:00:00;product_19;chute_5;11205
2022-04-08 00:00:00;product_19;chute_5;11205
2022-04-09 00:00:00;product_19;chute_5;11205
2022-04-10 00:00:00;product_19;chute_5;11205
2022-04-11 00:00:00;product_19;chute_5;11205
2022-04-21 00:00:00;product_19;chute_5;9911
2022-04-22 00:00:00;product_19;chute_5;9911
2022-04-23 00:00:00;product_19;chute_5;9911
2022-04-24 00:00:00;product_19;chute_5;9911
2022-04-07 00:00:00;product_2;chute_6;4106
2022-04-08 00:00:00;product_2;chute_6;4106
2022-04-09 00:00:00;product_2;chute_6;4106
2022-04-10 00:00:00;product_2;chute_6;4106
2022-04-11 00:00:00;product_2;chute_6;4106
2022-04-21 00:00:00;product_2;chute_6;4214
2022-04-22 00:00:00;product_2;chute_6;4214
2022-04-23 00:00:00;product_2;chute_6;4214
2022-04-24 00:00:00;product_2;chute_6;4214
2022-04-07 00:00:00;product_3;chute_6;1274
2022-04-08 00:00:00;product_3;chute_6;1274
2022-04-09 00:00:00;product_3;chute_6;1274
2022-04-10 00:00:00;product_3;chute_6;1274
2022-04-11 00:00:00;product_3;chute_6;1274
2022-04-21 00:00:00;product_3;chute_6;1314
2022-04-22 00:00:00;product_3;chute_6;1314
2022-04-23 00:00:00;product_3;chute_6;1314
2022-04-24 00:00:00;product_3;chute_6;1314
2022-03-22 00:00:00;product_5;chute_7;1529
2022-03-23 00:00:00;product_5;chute_7;1529
2022-03-24 00:00:00;product_5;chute_7;1529
2022-03-26 00:00:00;product_5;chute_7;1529
2022-03-27 00:00:00;product_5;chute_7;1529
2022-03-28 00:00:00;product_5;chute_7;1529
2022-03-30 00:00:00;product_5;chute_7;1529
2022-03-31 00:00:00;product_5;chute_7;1529
2022-04-01 00:00:00;product_5;chute_7;1529
2022-04-27 00:00:00;product_5;chute_7;1483
2022-04-28 00:00:00;product_5;chute_7;1483
2022-04-29 00:00:00;product_5;chute_7;1483
2022-04-30 00:00:00;product_5;chute_7;1483
2022-05-01 00:00:00;product_5;chute_7;1483
2022-05-03 00:00:00;product_5;chute_7;1483
2022-05-04 00:00:00;product_5;chute_7;1483
2022-05-05 00:00:00;product_5;chute_7;1483
2022-04-27 00:00:00;product_6;chute_8;1719
2022-04-28 00:00:00;product_6;chute_8;1719
2022-04-29 00:00:00;product_6;chute_8;1719
2022-04-30 00:00:00;product_6;chute_8;1719
2022-05-01 00:00:00;product_6;chute_8;1719
2022-05-03 00:00:00;product_6;chute_8;1719
2022-05-04 00:00:00;product_6;chute_8;1719
2022-05-05 00:00:00;product_6;chute_8;1719
2022-03-22 00:00:00;product_7;chute_8;2671
2022-03-23 00:00:00;product_7;chute_8;2671
2022-03-24 00:00:00;product_7;chute_8;2671
2022-03-26 00:00:00;product_7;chute_8;2671
2022-03-27 00:00:00;product_7;chute_8;2671
2022-03-28 00:00:00;product_7;chute_8;2671
2022-03-30 00:00:00;product_7;chute_8;2671
2022-03-31 00:00:00;product_7;chute_8;2671
2022-04-01 00:00:00;product_7;chute_8;2671
2022-04-03 00:00:00;product_7;chute_8;2660
2022-04-04 00:00:00;product_7;chute_8;2660
2022-04-05 00:00:00;product_7;chute_8;2660
2022-04-06 00:00:00;product_7;chute_8;2660
2022-04-08 00:00:00;product_7;chute_8;2660
2022-04-09 00:00:00;product_7;chute_8;2660
2022-04-10 00:00:00;product_7;chute_8;2660
2022-04-11 00:00:00;product_7;chute_8;2660
2022-04-13 00:00:00;product_7;chute_8;2660
2022-04-14 00:00:00;product_7;chute_8;2660
2022-04-15 00:00:00;product_7;chute_8;2694
2022-04-16 00:00:00;product_7;chute_8;2694
2022-04-18 00:00:00;product_7;chute_8;2694
2022-04-19 00:00:00;product_7;chute_8;2694
2022-04-20 00:00:00;product_7;chute_8;2694
2022-04-21 00:00:00;product_7;chute_8;2694
